Gene                  p_val  avg_logFC pct.1 pct.2     p_val_adj
Sdc1           0.000000e+00  1.7142270 0.600 0.024  0.000000e+00
Adgrg6        9.401547e-278  1.4180222 0.568 0.033 1.054666e-273
Ednrb         1.319869e-266  1.5571411 0.637 0.063 1.480629e-262
Vegfc         5.704794e-254  1.4004767 0.518 0.030 6.399638e-250
Mecom         2.804153e-208  1.3126525 0.641 0.094 3.145699e-204
Ly6a          5.789513e-179  0.6784385 0.980 0.785 6.494676e-175
Atp13a3       5.355358e-167  1.1113840 0.318 0.012 6.007641e-163
Nrg1          1.556630e-163  1.0847806 0.305 0.011 1.746228e-159
Gja5          3.627456e-143  1.0529463 0.281 0.012 4.069280e-139
Cd63          4.271222e-142  1.1233405 0.629 0.151 4.791457e-138
Cyp1a1        2.832634e-141  1.1213522 0.256 0.008 3.177649e-137
Ly6c1         5.636068e-140  1.2323728 0.383 0.041 6.322541e-136
Plac8         1.390481e-139  1.1459956 0.672 0.204 1.559841e-135
Ddit4         1.471349e-138  1.1448738 0.520 0.097 1.650559e-134
Tcn2          5.240308e-136 -0.7665295 0.557 0.917 5.878577e-132
Plpp1         3.602834e-134 -0.5763937 0.758 0.953 4.041660e-130
Hmcn1         1.000737e-130  1.0520342 0.480 0.079 1.122626e-126
Ldb2          1.174912e-129  0.9754990 0.682 0.191 1.318016e-125
Efnb1         8.744210e-121  0.8454825 0.848 0.401 9.809255e-117
Wnt2          8.720250e-118 -1.2545570 0.191 0.722 9.782377e-114
Ly6e          3.745569e-115  0.4160822 0.980 0.865 4.201780e-111
Lmo7          2.473471e-114  0.9258775 0.287 0.025 2.774739e-110
Cmklr1        3.228139e-109  0.8958853 0.260 0.020 3.621326e-105
Tm4sf1        3.228604e-107  0.4125956 0.980 0.873 3.621848e-103
Cd34          1.422503e-106  0.9997015 0.404 0.069 1.595764e-102
Fam167b       3.574489e-103 -0.6603081 0.574 0.882  4.009862e-99
Dhrs3          1.746650e-98 -0.8114813 0.400 0.799  1.959392e-94
Nrarp          3.161387e-97  0.9336970 0.363 0.061  3.546444e-93
Tsc22d1        6.735645e-97  0.6629782 0.850 0.529  7.556047e-93
Jag1           4.988829e-96  0.9118912 0.375 0.067  5.596469e-92
Ehd3           1.856138e-95 -0.4329891 0.789 0.975  2.082215e-91
Mbd4           1.954267e-95  0.8616060 0.312 0.041  2.192296e-91
Eng            6.598366e-93 -0.3251836 0.889 0.976  7.402047e-89
Ntn4           8.291092e-92  0.8527690 0.607 0.189  9.300947e-88
Bmp2           2.014427e-91 -0.7933967 0.445 0.809  2.259785e-87
Lgals1         8.901999e-90 -0.8519201 0.398 0.757  9.986263e-86
Sncg           3.428845e-85  0.8934423 0.305 0.048  3.846478e-81
Ehd2           2.238389e-84  0.8844096 0.264 0.034  2.511025e-80
Slc27a3        4.306776e-84  0.7925170 0.275 0.037  4.831342e-80
Clec4g         1.602760e-83 -0.3139314 0.938 0.989  1.797976e-79
Kdr            4.059007e-83 -0.6113699 0.604 0.891  4.553394e-79
Fcgrt          3.866220e-82 -0.4447007 0.748 0.933  4.337125e-78
Cst3           6.781337e-81  0.3378098 0.990 0.902  7.607304e-77
Stab2          5.743206e-77 -0.7678167 0.443 0.765  6.442729e-73
Pde2a          1.439723e-76 -0.8299458 0.293 0.709  1.615081e-72
Abcg2          2.774210e-75  0.8605634 0.398 0.100  3.112108e-71
Gatm           3.020199e-75 -0.7954411 0.404 0.731  3.388059e-71
Oit3           2.938680e-74 -0.7162721 0.438 0.787  3.296611e-70
Fbln2          1.462120e-71  0.9486047 0.363 0.090  1.640206e-67
Dnase1l3       5.965078e-68 -0.4311888 0.781 0.934  6.691624e-64
Ctsl           1.339168e-66 -0.4457197 0.787 0.931  1.502279e-62
Lrg1           5.111429e-66  0.7648906 0.627 0.287  5.734001e-62
Dpp4           2.821644e-65 -0.9022071 0.232 0.612  3.165320e-61
Lamp2          1.688580e-61 -0.4304977 0.686 0.899  1.894249e-57
Clec1b         8.689508e-61 -1.0575837 0.135 0.513  9.747890e-57
Clu            6.464541e-60  0.9530606 0.387 0.122  7.251922e-56
Nrp1           8.221874e-59 -0.3763923 0.748 0.936  9.223299e-55
Maf            1.259378e-58 -0.4653804 0.686 0.886  1.412770e-54
Utrn           1.612190e-58  0.7512339 0.373 0.107  1.808555e-54
Sox17          3.030612e-57  0.7108012 0.533 0.218  3.399741e-53
Mt1            6.110055e-56 -0.7820754 0.355 0.655  6.854260e-52
Ltbp4          8.589213e-56  0.4694772 0.900 0.590  9.635379e-52
Glul           4.356341e-54  0.5457479 0.762 0.482  4.886943e-50
Ehd4           2.205902e-53  0.8062726 0.496 0.211  2.474581e-49
Insr           4.473794e-53  0.6980906 0.471 0.176  5.018703e-49
Kit            4.690066e-53 -1.0956003 0.062 0.414  5.261315e-49
Sgk1           1.520548e-52 -0.5869512 0.457 0.748  1.705751e-48
Plxnc1         3.029284e-52 -0.8874535 0.193 0.532  3.398250e-48
Cd47           2.373530e-51 -0.3103083 0.814 0.937  2.662626e-47
Dll4           3.264733e-50  0.6625630 0.420 0.137  3.662378e-46
Tpbgl          4.713583e-50 -0.7355315 0.268 0.612  5.287697e-46
Avpi1          2.189723e-49  0.6415808 0.260 0.060  2.456431e-45
Fcgr2b         1.407850e-47 -0.4318308 0.697 0.844  1.579326e-43
Slc29a1        3.352399e-46 -0.3151275 0.770 0.888  3.760721e-42
Rspo3          1.378751e-45 -1.0965009 0.184 0.475  1.546683e-41
Crip1          3.400754e-45  0.6222427 0.619 0.334  3.814965e-41
Mkks           4.296942e-45  0.6380076 0.383 0.133  4.820310e-41
Efnb2          9.010863e-45  0.6027213 0.311 0.087  1.010839e-40
Car8           1.191663e-44 -0.5339829 0.443 0.688  1.336808e-40
Gas6           2.092291e-44 -0.5973005 0.359 0.659  2.347132e-40
Lifr           2.326595e-44 -0.4928315 0.514 0.776  2.609974e-40
Cd300lg        1.023039e-43 -0.4170887 0.617 0.856  1.147645e-39
Itm2c          2.717912e-43  0.4613207 0.785 0.530  3.048954e-39
Timp3          9.893112e-43  0.2968708 0.953 0.815  1.109809e-38
Ptgs1          3.340761e-42 -0.5946273 0.326 0.619  3.747666e-38
Ctsd           6.152070e-42 -0.3529077 0.697 0.866  6.901392e-38
Palld          1.014200e-41  0.5821088 0.322 0.099  1.137730e-37
Cd9            5.178764e-41  0.3192827 0.959 0.788  5.809538e-37
Msr1           8.490519e-41  0.5167297 0.611 0.272  9.524664e-37
Dlc1           1.661380e-40 -0.5524811 0.424 0.682  1.863736e-36
Efna1          2.228528e-40  0.5416975 0.604 0.296  2.499962e-36
Nt5c3          2.313667e-40  0.5496863 0.584 0.288  2.595471e-36
Slc43a3        1.574627e-39 -0.3280309 0.729 0.841  1.766416e-35
Cd55           3.795524e-39 -0.3709247 0.664 0.851  4.257818e-35
Mfge8          2.894667e-38  0.4691366 0.734 0.482  3.247238e-34
Trim47         3.285955e-38  0.5596210 0.531 0.256  3.686184e-34
Akr1b8         6.579144e-38 -0.8685247 0.100 0.379  7.380484e-34
Fam129b        3.853013e-37  0.5660711 0.283 0.089  4.322309e-33
Plvap          4.434548e-37  0.3808514 0.875 0.665  4.974676e-33
Vim            1.316455e-35  0.3775775 0.803 0.612  1.476800e-31
Pdia5          2.175609e-35  0.6151068 0.357 0.144  2.440598e-31
8430408G22Rik  3.950150e-35  0.6677460 0.273 0.088  4.431279e-31
Cdc42ep3       7.917461e-35  0.5373085 0.545 0.286  8.881808e-31
Smagp          9.641055e-35 -0.4566903 0.494 0.704  1.081534e-30
Cyp4b1         1.228807e-34 -0.4010838 0.627 0.785  1.378475e-30
Dusp1          1.453287e-34  0.3170574 0.881 0.735  1.630297e-30
Mrc1           5.567617e-34 -0.4540280 0.543 0.724  6.245752e-30
Col13a1        8.886760e-34 -0.7175272 0.193 0.463  9.969168e-30
Upp1           1.037842e-33  0.4993590 0.596 0.335  1.164251e-29
Adgrl4         1.216118e-33 -0.4372345 0.492 0.723  1.364241e-29
Cald1          1.819453e-33  0.4916805 0.604 0.330  2.041062e-29
Tspan13        2.219790e-33  0.5370116 0.502 0.245  2.490161e-29
Armcx2         1.032216e-32  0.5391077 0.275 0.091  1.157940e-28
Aass           2.167532e-32 -0.8654999 0.070 0.317  2.431538e-28
Vamp5          2.211164e-32 -0.2803193 0.723 0.853  2.480484e-28
Stab1          3.292382e-32 -0.3590721 0.639 0.821  3.693394e-28
Lgmn           4.396830e-32 -0.3448473 0.674 0.830  4.932363e-28
Armcx6         6.339319e-32  0.5368029 0.275 0.091  7.111448e-28
Btg1           1.027751e-31  0.5117531 0.549 0.298  1.152931e-27
Il33           4.795624e-31  0.5588818 0.312 0.121  5.379731e-27
Tmem106a       6.965024e-31 -0.5148562 0.361 0.607  7.813364e-27
Ier2           1.631558e-30  0.5608785 0.549 0.333  1.830282e-26
Lhfpl2         2.078702e-30 -0.5877652 0.258 0.520  2.331887e-26
Mgst1          1.192437e-29  0.5365528 0.475 0.250  1.337676e-25
Sept4          1.249786e-29  0.5419564 0.441 0.217  1.402010e-25
Fos            1.730420e-29  0.3730355 0.805 0.639  1.941185e-25
Vsir           3.529257e-29  0.4391691 0.613 0.363  3.959121e-25
Ahnak          8.531903e-29  0.5060921 0.453 0.233  9.571088e-25
Cd38           2.108849e-28 -0.3035319 0.680 0.829  2.365706e-24
S100a11        3.901371e-28  0.3887340 0.707 0.506  4.376558e-24
