Gene                  p_val  avg_logFC pct.1 pct.2     p_val_adj
Gja5          8.195108e-211  1.4108560 0.436 0.011 9.157213e-207
Atp13a3       2.347313e-195  1.4373234 0.443 0.014 2.622887e-191
Mecom         3.174860e-133  1.3669076 0.421 0.023 3.547588e-129
Htra1         2.478072e-124  1.1954872 0.271 0.008 2.768997e-120
Bmx           5.279436e-104  1.0746693 0.329 0.018 5.899241e-100
Fbln2          7.729265e-92  1.1455511 0.321 0.020  8.636681e-88
Ltbp4          3.955908e-82  1.3613950 0.686 0.127  4.420332e-78
Sulf1          2.499563e-81  1.0528646 0.300 0.020  2.793012e-77
Plac8          1.423666e-66  1.2832013 0.636 0.133  1.590805e-62
Mgst1          7.164822e-64  1.0931634 0.400 0.051  8.005972e-60
Plat           5.250685e-55  1.1154468 0.529 0.101  5.867116e-51
Vwf            6.107001e-54  1.1353076 0.764 0.227  6.823963e-50
Adgrg6         5.041686e-52  0.8854018 0.286 0.031  5.633580e-48
AU021092       3.160910e-49  0.9803587 0.343 0.047  3.532001e-45
Psen2          9.215732e-46  0.9732045 0.336 0.049  1.029766e-41
Apoe           5.642001e-39  1.1394310 0.443 0.101  6.304372e-35
Ctsh           6.386076e-39  1.1495991 0.343 0.062  7.135801e-35
Mgp            2.356136e-37  1.3730609 0.536 0.166  2.632746e-33
Cdc42ep3       5.535889e-37  0.8419624 0.300 0.047  6.185803e-33
Fbln5          1.972472e-35  1.0554687 0.350 0.069  2.204041e-31
Gata6          4.304138e-32  0.7919821 0.300 0.054  4.809443e-28
Vcam1          7.014648e-32  1.0107632 0.357 0.077  7.838167e-28
Fstl1          6.751784e-29  0.8804827 0.350 0.080  7.544443e-25
Tm4sf1         1.978048e-26  0.4190738 1.000 0.841  2.210271e-22
Trim47         6.664322e-26  0.7723270 0.414 0.116  7.446714e-22
Foxf1          1.990051e-25 -0.5074690 0.650 0.909  2.223683e-21
Cd81           2.592137e-25  0.8045102 0.700 0.313  2.896454e-21
Nxn            2.993088e-25  0.8007029 0.371 0.099  3.344477e-21
Tspan7         1.240341e-24 -0.3827616 0.800 0.976  1.385957e-20
Cytl1          2.107810e-24  1.2377587 0.329 0.087  2.355267e-20
Thbd           1.323464e-23 -0.4938102 0.664 0.902  1.478839e-19
Hpgd           5.725412e-23 -0.4883814 0.671 0.923  6.397575e-19
BC028528       1.222163e-22 -0.4858836 0.664 0.916  1.365645e-18
Cd63           2.663321e-22  0.7914240 0.321 0.084  2.975995e-18
Utrn           2.894766e-20  0.7355531 0.400 0.129  3.234612e-16
Bgn            4.526522e-20  0.8578506 0.407 0.137  5.057936e-16
Sema3c         8.063672e-20 -0.7414243 0.429 0.729  9.010347e-16
S100a6         1.569745e-19  0.9407112 0.364 0.121  1.754033e-15
Cd36           5.304009e-19 -0.3808569 0.729 0.948  5.926699e-15
Mmrn2          5.887019e-19  0.7134349 0.550 0.229  6.578155e-15
Pltp           5.966066e-18 -0.3835999 0.750 0.929  6.666482e-14
Emp3           6.718765e-18  0.7923093 0.386 0.137  7.507548e-14
