Gene                  p_val  avg_logFC pct.1 pct.2     p_val_adj
Ednrb          0.000000e+00  1.7989418 0.861 0.067  0.000000e+00
Fibin          0.000000e+00  1.7842538 0.897 0.113  0.000000e+00
Chst1          0.000000e+00  1.7215010 0.786 0.043  0.000000e+00
Apln           0.000000e+00  1.5298134 0.663 0.056  0.000000e+00
AW112010       0.000000e+00  1.5022440 0.954 0.221  0.000000e+00
Tbx2           0.000000e+00  1.3704035 0.603 0.049  0.000000e+00
Emp2           0.000000e+00  1.3040643 0.997 0.365  0.000000e+00
Igfbp7         0.000000e+00  0.8189607 1.000 0.749  0.000000e+00
Car4          1.584434e-307  0.9460061 0.997 0.609 1.770447e-303
Rprml         1.245022e-302  1.3595036 0.585 0.044 1.391187e-298
Ifitm3        8.406752e-300 -0.7211295 0.862 0.998 9.393705e-296
Ptp4a3        4.544786e-294  1.2077385 0.951 0.313 5.078344e-290
Ccdc184       5.404122e-291  1.3586677 0.540 0.035 6.038566e-287
Enho          1.380093e-284  1.3294805 0.718 0.103 1.542116e-280
Pmp22         8.257934e-274  0.9748084 0.995 0.499 9.227415e-270
Plvap         1.989361e-253 -1.2774987 0.456 0.923 2.222912e-249
C1qtnf2       1.693391e-240  1.2118133 0.544 0.057 1.892195e-236
Cdkn2b        1.786148e-237  1.1880077 0.457 0.032 1.995842e-233
Sirpa         1.697865e-229  1.1416052 0.418 0.024 1.897194e-225
Sept4         1.015944e-227  0.9698462 0.957 0.411 1.135216e-223
Ccdc68        2.425381e-217  1.1385950 0.514 0.057 2.710121e-213
Tmeff2        2.617176e-216  1.1192999 0.418 0.028 2.924433e-212
Tm4sf1        9.911707e-211 -1.0318401 0.513 0.910 1.107534e-206
Gpihbp1       2.986108e-207 -0.9931880 0.535 0.910 3.336677e-203
Serpine1      8.252110e-207  1.1697489 0.440 0.038 9.220908e-203
Meox1         8.402289e-204  1.1480543 0.524 0.068 9.388718e-200
Kitl          2.727196e-198  1.0845087 0.748 0.180 3.047368e-194
Rasgrp2       1.000592e-197  1.1003293 0.701 0.152 1.118062e-193
Frrs1         1.751706e-196  1.0813965 0.394 0.029 1.957356e-192
Prx           8.468154e-195  1.0014568 0.872 0.278 9.462315e-191
Cd93          1.051407e-190 -1.5418059 0.161 0.786 1.174842e-186
Nhlrc2        2.796300e-190  1.0478465 0.756 0.184 3.124586e-186
Tbx3os1       1.062000e-186  1.0450132 0.359 0.023 1.186679e-182
Tmsb10        1.817693e-185 -1.1061493 0.402 0.843 2.031091e-181
Rgs12         5.714729e-181  1.0331173 0.772 0.213 6.385638e-177
Tmsb4x        7.590313e-179 -0.3154835 0.976 0.999 8.481415e-175
Kdr           1.231241e-177  0.8941708 0.929 0.375 1.375789e-173
Itgb5         6.365691e-176  0.9661185 0.316 0.016 7.113024e-172
Pltp          5.600567e-173 -0.5726555 0.799 0.946 6.258073e-169
Mgll          2.544398e-171  1.0075030 0.729 0.194 2.843110e-167
Clu           5.954691e-169  0.8650704 0.916 0.404 6.653771e-165
Cd34          2.931754e-164  0.8429585 0.929 0.411 3.275942e-160
Lmntd1        2.022687e-162  0.9376095 0.296 0.016 2.260151e-158
Tppp3         3.814843e-159  0.9346540 0.812 0.279 4.262706e-155
Foxp1         1.179627e-155 -1.0534410 0.359 0.806 1.318115e-151
